Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Hipotecario;Nombre corto del Préstamo Hipotecario;Denominación;Monto máximo otorgable del préstamo;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Relación monto/tasación (%);Destino de los fondos;Beneficiarios;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $100.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALCOMPRADETERRENOYCONSTRUCCIONDEVIVIENDA;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;50,00;Vivienda propia, única y permanente;Todos los beneficiarios;4,00;75,32;Variable;75,32;6065,33;Todo el territorio nacional;TECBP MAS 5PUNTOS LA TASA DE INTERES VARIARA POR TRIMESTRE CALENDARIO DE ACUERDO AL PROMEDIO DE LA TASA DEL TRIMESTRE INMEDIATO ANTERIOR. LA TASA DE INTERES SERA EQUIVALENTE A EL PROMEDIO DE LA TASA ENCUESTA CORREGIDA BANCOS PRIVADOS (TEC BP).
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALREFACCION;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;30,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALREFACCION;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;30,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALCONSTRUCCIONSOBRETERRENOPROPIO;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;50,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 57,48. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALREFACCION;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;30,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALREFACCION;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;30,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 57,48. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALCOMPRADEVIVIENDA;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;60,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALCOMPRADETERRENOYCONSTRUCCIONDEVIVIENDA;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;40,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALCOMPRADEVIVIENDA;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;60,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOHIPOTECARIOTRADICIONALCOMPRADETERRENOYCONSTRUCCIONDEVIVIENDA;PRESTHIPOTRADICIONAL;Pesos;1000000;120;35000;12;76;35,00;40,00;Vivienda adicional o 2da vivienda;Todos los beneficiarios;4,00;75,32;Mixta;75,32;6065,33;Todo el territorio nacional;TASA COMBINADA: 1ER TRAMO FIJA TNA 45.3. 2DO TRAMO TECBPMAS 5PUNTOS MAS IVA SOBRE INTERESES
