Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOPERSONAL;PP;Pesos;1000000;1000;72;0;0;74;30,00;Todos los beneficiarios;4,00;125,22;Fija;165,29;862,27;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.U.;2019-12-05;PRESTAMOPERSONALUVA;PPUVA;UVA;1000000;1000;72;0;0;74;30,00;Todos los beneficiarios;4,00;35,81;Fija;44,68;371,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2019-10-01;NACION PERSONALES LIBRE DESTINO TRAMO IV;NACION LIBRE DESTINO;Pesos;1000000;10000;72;17639;12;100;30,00;Clientes con cuenta en la entidad;,00;107,06;Fija;142,80;764,38;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2019-10-01;PRESTAMOS PERSONALES PARA LA ADQUISICION DE AUTOS O KM Y UNIDADES USADAS Y MOTOS O KM;PRESTAMOS AUTOS Y MOTOS;UVA;1000000;1;60;16875;12;100;25,00;Todos los beneficiarios;,00;18,98;Fija;23,72;281,86;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2019-10-01;NACION SUELDOS TRAMO III;NACION SUELDOS;UVA;1000000;10000;72;17131;12;64;20,00;Clientes que acrediten sueldos en la entidad;,00;18,98;Fija;23,72;255,90;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2019-10-01;NACION SUELDOS TRAMO III;NACION SUELDOS;Pesos;1000000;10000;72;17562;12;64;30,00;Clientes que acrediten sueldos en la entidad;,00;91,98;Fija;121,55;687,05;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Personas humanas en relación de dependencia;4,00;69,00;Fija;95,60;585,46;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Personas humanas Monotributistas;4,00;69,00;Fija;95,60;585,46;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Personas humanas en relación de dependencia;4,00;69,00;Fija;95,60;585,46;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Personas humanas Responsables Inscriptos;4,00;69,00;Fija;95,60;585,46;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Empleados públicos;4,00;69,00;Fija;95,60;585,46;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Empleados públicos;4,00;69,00;Fija;95,60;585,46;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Personas humanas Monotributistas;4,00;69,00;Fija;95,60;585,46;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2019-09-05;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;1000000;1000;72;1300;12;100;35,00;Personas humanas Responsables Inscriptos;4,00;69,00;Fija;95,60;585,46;Ciudad Autónoma de Buenos Aires;0
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;24000;12;79;30,00;Personas humanas Responsables Inscriptos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;24000;12;79;30,00;Personas humanas Monotributistas;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;21000;12;79;30,00;Personas humanas Monotributistas;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;29000;12;79;30,00;Personas humanas Responsables Inscriptos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;29000;12;79;30,00;Empleados públicos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;25000;12;79;30,00;Clientes con cuenta en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;25000;12;79;30,00;Personas humanas Responsables Inscriptos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;21000;12;79;30,00;Personas humanas Responsables Inscriptos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;29000;12;79;30,00;Clientes que acrediten sueldos en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;24000;12;79;30,00;Clientes que acrediten sueldos en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;29000;12;79;30,00;Personas humanas Monotributistas;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
